movie_id,imdb_id,tmdb_id,rating,average_rating,title
648,0117060,954,3.5,3.41199,Mission: Impossible (1996)
653,0116136,8840,3.0,3.21738,DragonHeart (1996)
673,0117705,2300,3.0,2.79073,Space Jam (1996)
724,0115963,9100,3.0,3.08375,The Craft (1996)
733,0117500,9802,4.0,3.68478,The Rock (1996)
736,0117998,664,3.5,3.21912,Twister (1996)
741,0113568,9323,4.5,3.98397,Ghost in the Shell (1995)
743,0117723,10535,4.0,2.74465,Spy Hard (1996)
745,0112691,532,3.0,4.09443,A Close Shave (1995)
762,0117765,9879,2.5,2.41149,Striptease (1996)
765,0116669,7095,3.5,3.03757,Jack (1996)
778,0117951,627,3.5,4.01173,Trainspotting (1996)
780,0116629,602,3.5,3.39959,Independence Day (1996)
783,0116583,10545,2.5,3.24981,The Hunchback of Notre Dame (1996)
786,0116213,9268,3.0,3.16626,Eraser (1996)
788,0117218,9327,2.5,2.82366,The Nutty Professor (1996)
798,0116040,11228,3.5,2.84374,Daylight (1996)
832,0117438,3595,3.5,3.4444,Ransom (1996)
837,0117008,10830,3.0,3.44841,Matilda (1996)
849,0116225,10061,3.5,2.77547,Escape from L.A. (1996)
924,0062622,62,4.0,3.99543,2001: A Space Odyssey (1968)
1011,0071607,10869,2.5,2.755,Herbie Rides Again (1974)
1020,0106611,864,4.0,3.27382,Cool Runnings (1993)
1022,0042332,11224,3.0,3.52823,Cinderella (1950)
1025,0057546,9078,3.5,3.55296,The Sword in the Stone (1963)
1027,0102798,8367,3.0,3.29763,Robin Hood: Prince of Thieves (1991)
1028,0058331,433,4.0,3.71969,Mary Poppins (1964)
1029,0033563,11360,3.0,3.44122,Dumbo (1941)
1032,0043274,12092,3.0,3.61635,Alice in Wonderland (1951)
1036,0095016,562,5.0,3.94014,Die Hard (1988)
1047,0116908,11412,3.5,3.41821,The Long Kiss Goodnight (1996)
1059,0117509,454,3.5,3.5385,Romeo + Juliet (1996)
1064,0115491,11238,3.0,3.10362,Aladdin and the King of Thieves (1996)
1073,0067992,252,3.5,3.70333,Willy Wonka & the Chocolate Factory (1971)
1080,0079470,583,4.0,3.98341,Life of Brian (1979)
1088,0092890,88,3.0,3.27028,Dirty Dancing (1987)
1092,0103772,402,3.0,3.3622,Basic Instinct (1992)
1097,0083866,601,3.0,3.73936,E.T. the Extra-Terrestrial (1982)
